Timestamp,Pin0,Pin1,Pin2,Pin3,Pin4,Pin5
1683137424808782463,901,901,1000,1000,1000,1000
1683137424811416725,900,900,1000,1000,1000,1000
1683137424814060766,900,900,1000,1000,1000,1000
1683137424816709565,900,900,1000,1000,1000,1000
1683137424819353698,900,900,1000,1000,1000,1000
1683137424821988646,900,900,1000,1000,1000,1000
1683137424824622187,900,900,1000,1000,1000,1000
1683137424827252060,900,900,1000,1000,1000,1000
1683137424829891286,901,901,1000,1000,1000,1000
1683137424832525715,900,900,1000,1000,1000,1000
1683137424835180367,900,900,1001,1001,1001,1001
1683137424837827592,900,900,1000,1000,1000,1000
1683137424840487670,900,900,1000,1000,1000,1000
1683137424843112729,900,900,1000,1000,1000,1000
1683137424845734436,900,900,1000,1000,1000,1000
1683137424848353513,900,900,1000,1000,1000,1000
1683137424850965202,900,900,1000,1000,1000,1000
1683137424853571872,900,900,1000,1000,1000,1000
1683137424856178246,900,900,1000,1000,1000,1000
1683137424858784046,900,900,1000,1000,1000,1000
1683137424861389661,900,900,1000,1000,1000,1000
1683137424863958035,900,900,1000,1000,1000,1000
1683137424866568872,900,900,1000,1000,1000,1000
1683137424869179857,900,900,1000,1000,1000,1000
1683137424871791620,900,900,1000,1000,1000,1000
1683137424874399457,900,900,1000,1000,1000,1000
1683137424877008997,900,900,1000,1000,1000,1000
1683137424879617464,900,900,1000,1000,1000,1000
1683137424882227060,901,901,1000,1000,1000,1000
1683137424884842415,900,900,1000,1000,1000,1000
1683137424887463622,900,900,1000,1000,1000,1000
1683137424890085589,900,900,1000,1000,1000,1000
1683137424892708111,900,900,1000,1000,1000,1000
1683137424895332485,900,900,1000,1000,1000,1000
1683137424897961247,900,900,1001,1001,1001,1001
1683137424900600232,899,899,999,999,999,999
1683137424903229810,900,900,1000,1000,1000,1000
1683137424905882924,900,900,1000,1000,1000,1000
1683137424908541205,900,900,1000,1000,1000,1000
1683137424911168264,900,900,1000,1000,1000,1000
1683137424914018859,900,900,1000,1000,1000,1000
1683137424916673529,900,900,1000,1000,1000,1000
1683137424919302551,900,900,1000,1000,1000,1000
1683137424921927943,900,900,1000,1000,1000,1000
1683137424924549280,900,900,1000,1000,1000,1000
1683137424927172302,900,900,1000,1000,1000,1000
1683137424929793213,900,900,1000,1000,1000,1000
1683137424932432068,900,900,1000,1000,1000,1000
1683137424935086071,900,900,1000,1000,1000,1000
1683137424937719038,900,900,1000,1000,1000,1000
1683137424940326560,900,900,1000,1000,1000,1000
1683137424942929378,900,900,1000,1000,1005,1005
1683137424945516271,900,900,1000,1000,1000,1000
1683137424948092922,900,900,1000,1000,1005,1005
1683137424950666482,900,900,1000,1000,1000,1000
1683137424953240745,900,900,1000,1000,995,995
1683137424955814230,900,900,1000,1000,1005,1005
1683137424958388141,900,900,1000,1000,1000,1000
1683137424960961071,900,900,1000,1000,1005,1005
1683137424963533963,900,900,1000,1000,1005,1005
1683137424966107671,900,900,1000,1000,995,995
1683137424968681749,900,900,1000,1000,1000,1000
1683137424971255252,900,900,1000,1000,1005,1005
1683137424973828904,900,900,1000,1000,1000,1000
1683137424976402093,900,900,1000,1000,1000,1000
1683137424978976190,900,900,1000,1000,1000,1000
1683137424981549212,900,900,1000,1000,1000,1000
1683137424984122012,900,900,1000,1000,1005,1005
1683137424986696145,900,900,1000,1000,1005,1005
1683137424989269186,900,900,1000,1000,1005,1005
1683137424991841986,900,900,1000,1000,995,995
1683137424994415749,900,900,1000,1000,995,995
1683137424996989734,900,900,1000,1000,1000,1000
1683137424999562849,900,900,1000,1000,995,995
1683137425002148334,900,900,1000,1000,1000,1000
1683137425004722116,900,900,1000,1000,1000,1000
1683137425007295527,900,900,1000,1000,1000,1000
1683137425009868512,900,900,1000,1000,1005,1005
1683137425012441257,900,900,1000,1000,1000,1000
1683137425015014575,900,900,1000,1000,1000,1000
1683137425017588246,901,901,1000,1000,1005,1005
1683137425020161398,900,900,1000,1000,995,995
1683137425022734439,900,900,1000,1000,1000,1000
1683137425025307924,900,900,1000,1000,995,995
1683137425027881742,900,900,1000,1000,995,995
1683137425030454691,900,900,1000,1000,1005,1005
1683137425033027380,900,900,1000,1000,1000,1000
1683137425035602717,900,900,1000,1000,1000,1000
1683137425038177980,900,900,1000,1000,1005,1005
1683137425040752428,900,900,1000,1000,995,995
1683137425043326913,900,900,1000,1000,1000,1000
1683137425045901102,900,900,1000,1000,1005,1005
1683137425048475402,900,900,1000,1000,995,995
1683137425051049535,900,900,1000,1000,1000,1000
1683137425053623817,900,900,1000,1000,995,995
1683137425056198135,900,900,1000,1000,1000,1000
1683137425058772102,899,899,999,999,1004,1004
1683137425061346865,900,900,1000,1000,1005,1005
1683137425063921221,900,900,1000,1000,1000,1000
1683137425066506373,900,900,1000,1000,1000,1000
1683137425069081488,900,900,1000,1000,1000,1000
1683137425071655788,900,900,1000,1000,1000,1000
1683137425074231458,900,900,1000,1000,995,995
1683137425076806073,900,900,1000,1000,1000,1000
1683137425079380188,900,900,1000,1000,995,995
1683137425081954303,900,900,1000,1000,1000,1000
1683137425084529936,900,900,1000,1000,1005,1005
1683137425087103995,900,900,1000,1000,1000,1000
1683137425089678018,900,900,1000,1000,995,995
1683137425092252040,900,900,1000,1000,1005,1005
1683137425094826544,900,900,1000,1000,995,995
1683137425097400955,900,900,1000,1000,1000,1000
1683137425099975181,900,900,1000,1000,1005,1005
1683137425102549444,900,900,1000,1000,995,995
1683137425105127744,900,900,1000,1000,1000,1000
1683137425107706896,900,900,1000,1000,995,995
1683137425110281622,900,900,1000,1000,1000,1000
1683137425112856403,900,900,1000,1000,1005,1005
1683137425115431111,900,900,1000,1000,995,995
1683137425118005614,900,900,1000,1000,1000,1000
1683137425120579933,900,900,1000,1000,995,995
1683137425123154066,900,900,1000,1000,995,995
1683137425125728163,900,900,1001,1001,996,996
1683137425128302277,900,900,1000,1000,1000,1000
1683137425130876522,900,900,1000,1000,1000,1000
1683137425133450766,900,900,1000,1000,1005,1005
1683137425136024974,900,900,1000,1000,1000,1000
1683137425138599292,900,900,1000,1000,1000,1000
1683137425141173481,900,900,1000,1000,1005,1005
1683137425143747578,900,900,1000,1000,995,995
1683137425146321989,900,900,1000,1000,1005,1005
1683137425148896270,900,900,1000,1000,1005,1005
1683137425151470552,900,900,1000,1000,995,995
1683137425154046445,900,900,1000,1000,1005,1005
1683137425156621134,900,900,1000,1000,1000,1000
1683137425159195508,900,900,1000,1000,1005,1005
1683137425161769660,900,900,1000,1000,1005,1005
1683137425164343978,900,900,1000,1000,1000,1000
1683137425166918278,900,900,1000,1000,1000,1000
1683137425169493819,900,900,1000,1000,995,995
1683137425172068526,900,900,1000,1000,1005,1005
1683137425174643123,900,900,1000,1000,1000,1000
1683137425177217682,900,900,1000,1000,995,995
1683137425179792149,900,900,1000,1000,1005,1005
1683137425182366615,900,900,1000,1000,1000,1000
1683137425184940767,900,900,1000,1000,1000,1000
1683137425187513864,900,900,1000,1000,1005,1005
1683137425190087016,900,900,1000,1000,995,995
1683137425192659668,900,900,1000,1000,995,995
1683137425195233819,900,900,1000,1000,1000,1000
1683137425197809564,900,900,1000,1000,995,995
1683137425200383938,900,900,1000,1000,1000,1000
1683137425202958164,900,900,1000,1000,1000,1000
1683137425205532501,900,900,1000,1000,1000,1000
1683137425208106968,900,900,1000,1000,1005,1005
1683137425210680935,900,900,1000,1000,1000,1000
1683137425213255049,900,900,1000,1000,1000,1000
1683137425215829183,900,900,1000,1000,1005,1005
1683137425218403187,900,900,1000,1000,995,995
